occurtime,power
2020-12-12_19:20:00,128.08
2020-12-12_19:25:00,125.2
2020-12-12_19:30:00,120.96
2020-12-12_19:40:00,0.0
2020-12-12_19:45:00,0.0
2020-12-12_19:50:00,0.0
2020-12-12_19:55:00,140.0
2020-12-12_20:00:00,125.84
2020-12-12_20:05:00,120.24
2020-12-12_20:10:00,118.96
2020-12-12_20:15:00,0.0
2020-12-12_20:20:00,0.0
2020-12-12_20:25:00,0.0
2020-12-12_20:30:00,0.0
2020-12-12_20:35:00,129.04
2020-12-12_20:40:00,126.0
2020-12-12_20:45:00,121.36
2020-12-12_20:50:00,118.88
2020-12-12_20:55:00,0.0
2020-12-12_21:00:00,0.0
2020-12-12_21:05:00,0.0
2020-12-12_21:10:00,129.12
2020-12-12_21:15:00,125.76
2020-12-12_21:20:00,124.48
2020-12-12_21:25:00,122.4
2020-12-12_21:30:00,0.0
2020-12-12_21:35:00,0.0
2020-12-12_21:40:00,0.0
2020-12-12_21:45:00,154.4
2020-12-12_21:50:00,126.24
2020-12-12_21:55:00,122.88
2020-12-12_22:00:00,121.76
2020-12-12_22:05:00,0.0
2020-12-12_22:10:00,0.0
2020-12-12_22:15:00,0.0
2020-12-12_22:20:00,0.0
2020-12-12_22:25:00,128.0
2020-12-12_22:30:00,125.04
2020-12-12_22:35:00,121.2
2020-12-12_22:40:00,0.0
2020-12-12_22:45:00,0.0
2020-12-12_22:50:00,0.0
2020-12-12_22:55:00,0.0
2020-12-12_23:00:00,128.8
2020-12-12_23:05:00,125.52
2020-12-12_23:10:00,120.88
2020-12-12_23:15:00,120.4
2020-12-12_23:20:00,0.0
2020-12-12_23:25:00,0.0
2020-12-12_23:30:00,0.0
2020-12-12_23:35:00,130.56
2020-12-12_23:40:00,122.72
2020-12-12_23:45:00,118.8
2020-12-12_23:50:00,119.6
2020-12-12_23:55:00,0.0
2020-12-13_00:00:00,0.0
2020-12-13_00:05:00,0.0
2020-12-13_00:10:00,138.72
2020-12-13_00:15:00,121.84
2020-12-13_00:20:00,120.0
2020-12-13_00:25:00,117.44
2020-12-13_00:30:00,0.0
2020-12-13_00:35:00,0.0
2020-12-13_00:40:00,0.0
2020-12-13_00:45:00,153.84
2020-12-13_00:50:00,126.32
2020-12-13_00:55:00,122.48
2020-12-13_01:00:00,121.04
2020-12-13_01:05:00,0.0
2020-12-13_01:10:00,0.0
2020-12-13_01:15:00,0.0
